first_name,last_name,position,phone,email,salary,branch_id
Michael,Burke,Security Staff,2417374283,michael.burke149@company.com,42055,1
Lee,Sosa,HR Executive,7772873299,lee.sosa559@company.com,56026,1
Gavin,Curtis,Assistant Manager,3258918517,gavin.curtis149@company.com,68576,1
Randy,Allen,Inventory Supervisor,2307184891,randy.allen62@company.com,87562,1
James,Owens,Warehouse Staff,2012383616,james.owens162@company.com,58669,1
Victoria,Franklin,Sales Executive,4714642777,victoria.franklin416@company.com,56262,1
Stephanie,Rodriguez,Security Staff,8934518837,stephanie.rodriguez173@company.com,22350,1
Kevin,Maynard,Inventory Supervisor,9556717574,kevin.maynard383@company.com,77070,1
Gloria,Jones,HR Executive,2174006968,gloria.jones916@company.com,20472,1
Jerry,Hayes,Accountant,1311209735,jerry.hayes461@company.com,86695,1
Katie,Edwards,Store Manager,8223407012,katie.edwards532@company.com,41146,1
Jennifer,Barber,Inventory Supervisor,1999034630,jennifer.barber457@company.com,76529,1
Megan,Williams,Security Staff,2155756576,megan.williams340@company.com,21792,1
Ashley,Lucero,HR Executive,7596876158,ashley.lucero191@company.com,43047,1
Crystal,King,Inventory Supervisor,3054619460,crystal.king161@company.com,26693,1
Kevin,Williams,Inventory Supervisor,8707947791,kevin.williams217@company.com,32832,1
Nicholas,Simpson,Assistant Manager,221476170,nicholas.simpson975@company.com,83640,1
David,Orr,Customer Support,2343785657,david.orr302@company.com,83614,1
Brian,Brown,Accountant,8158180570,brian.brown555@company.com,28543,1
Kathleen,Lawson,Customer Support,6930274684,kathleen.lawson334@company.com,82517,1
Nicholas,Jacobs,Cashier,5924850078,nicholas.jacobs776@company.com,68862,1
Steven,Miller,Assistant Manager,1152681938,steven.miller117@company.com,48586,1
Sarah,Myers,HR Executive,6277816229,sarah.myers654@company.com,81518,1
Michael,Bell,Inventory Supervisor,8894553973,michael.bell45@company.com,33444,1
Bradley,Shepherd,Accountant,8490530458,bradley.shepherd953@company.com,22467,1
Zachary,Hardin,Inventory Supervisor,4213641942,zachary.hardin713@company.com,43532,1
Douglas,Freeman,HR Executive,7359915445,douglas.freeman303@company.com,41337,1
Jacqueline,Huerta,Cashier,179018842,jacqueline.huerta55@company.com,81135,1
Dylan,Wilson,Store Manager,1278912815,dylan.wilson483@company.com,51010,1
Ashley,Martin,Sales Executive,570492087,ashley.martin519@company.com,73191,1
Kim,Guerrero,Sales Executive,6540570104,kim.guerrero209@company.com,31999,1
Kelly,Norton,Assistant Manager,5760686300,kelly.norton8@company.com,42286,1
Eric,Robinson,Warehouse Staff,6367674421,eric.robinson490@company.com,74015,1
Joseph,Kennedy,Sales Executive,8737208460,joseph.kennedy83@company.com,60940,1
Miguel,Gentry,Customer Support,7631542127,miguel.gentry91@company.com,56856,1
Joseph,Rich,Cashier,6652528727,joseph.rich267@company.com,56333,1
Johnathan,Thompson,HR Executive,2864218267,johnathan.thompson759@company.com,46127,1
Gerald,Robertson,Inventory Supervisor,2521975935,gerald.robertson412@company.com,82960,1
Samantha,Palmer,Cashier,8531993552,samantha.palmer282@company.com,73806,1
Blake,Diaz,Warehouse Staff,316714204,blake.diaz965@company.com,49664,1
Angela,Smith,Inventory Supervisor,2765013445,angela.smith72@company.com,67297,1
Crystal,Riley,Warehouse Staff,2854135567,crystal.riley826@company.com,38011,1
Erica,King,Customer Support,8382407908,erica.king525@company.com,66129,1
Betty,Farrell,Cashier,9636654944,betty.farrell569@company.com,83446,1
James,Harrington,Accountant,2491665643,james.harrington923@company.com,67474,1
Ryan,Robbins,Customer Support,1601281900,ryan.robbins319@company.com,71303,2
Hannah,Welch,HR Executive,394698867,hannah.welch754@company.com,85488,2
Jason,Sanchez,Assistant Manager,3870501513,jason.sanchez698@company.com,83601,2
Lisa,Avery,Store Manager,911729722,lisa.avery31@company.com,62178,2
Jose,Knight,Cashier,7883538996,jose.knight402@company.com,55154,2
Joshua,Rivas,Sales Executive,9733464745,joshua.rivas980@company.com,34860,2
Heather,Kennedy,Sales Executive,6937686536,heather.kennedy581@company.com,63411,2
Jonathan,Taylor,HR Executive,222499695,jonathan.taylor55@company.com,71453,2
Justin,Greene,Sales Executive,7760596178,justin.greene325@company.com,48502,2
Tiffany,Davis,Customer Support,4210315268,tiffany.davis776@company.com,19851,2
Joshua,Stephenson,Security Staff,3897959390,joshua.stephenson891@company.com,52834,2
Calvin,Woods,Assistant Manager,1104796434,calvin.woods148@company.com,21655,2
Caitlyn,Reed,Warehouse Staff,1120946851,caitlyn.reed27@company.com,40629,2
Lori,Richards,Warehouse Staff,8920167995,lori.richards849@company.com,23241,2
Phillip,Perez,Security Staff,1518929027,phillip.perez84@company.com,41037,2
Patricia,Lynch,HR Executive,5395447390,patricia.lynch662@company.com,18385,2
Karen,Martin,HR Executive,405595218,karen.martin194@company.com,25151,2
Natalie,Blake,Store Manager,6184620970,natalie.blake554@company.com,61796,2
Tracy,Peck,Assistant Manager,6388820062,tracy.peck257@company.com,89827,2
John,Fuller,Sales Executive,8577153933,john.fuller547@company.com,89653,2
Kelly,Perez,Store Manager,9412364533,kelly.perez560@company.com,42237,2
Debra,Williams,Security Staff,5651909101,debra.williams327@company.com,31663,2
Willie,Gomez,Security Staff,2287927806,willie.gomez672@company.com,48198,2
Jerry,Martin,Assistant Manager,498498792,jerry.martin211@company.com,30528,2
James,Bowman,Inventory Supervisor,7282285064,james.bowman36@company.com,69662,2
Stephanie,Johnson,Cashier,6835054347,stephanie.johnson325@company.com,41724,2
Michael,Watson,Store Manager,3199623439,michael.watson109@company.com,50967,2
Teresa,Smith,Warehouse Staff,4520728329,teresa.smith506@company.com,63812,2
Maria,Snyder,Warehouse Staff,498796147,maria.snyder641@company.com,87163,2
David,Li,Inventory Supervisor,824643944,david.li361@company.com,24274,2
Lynn,Hunter,Accountant,1229422775,lynn.hunter575@company.com,73939,2
Kathryn,Goodwin,Cashier,8560229628,kathryn.goodwin309@company.com,58623,2
Steven,Webb,Sales Executive,5591427893,steven.webb614@company.com,52044,2
Anne,Murray,Inventory Supervisor,6944302756,anne.murray106@company.com,74590,2
Nicole,Nelson,HR Executive,3162209748,nicole.nelson643@company.com,86045,2
Brooke,Robinson,HR Executive,7304464697,brooke.robinson562@company.com,68689,2
Ronald,Olson,Customer Support,1651817579,ronald.olson892@company.com,69240,2
Elizabeth,Chen,Store Manager,8895738769,elizabeth.chen829@company.com,55167,2
Charles,Wright,Security Staff,5618246682,charles.wright426@company.com,47094,2
Krystal,Carpenter,Assistant Manager,8060021102,krystal.carpenter761@company.com,56660,2
Bridget,Anderson,Inventory Supervisor,40135909,bridget.anderson334@company.com,29548,2
Elizabeth,Dougherty,Store Manager,1275182817,elizabeth.dougherty729@company.com,84396,2
Robin,Brandt,Accountant,6653634514,robin.brandt802@company.com,26229,2
Amanda,Harper,HR Executive,399788195,amanda.harper214@company.com,82710,3
Samuel,Webb,Accountant,5758242307,samuel.webb525@company.com,88123,3
Daniel,Murray,Inventory Supervisor,9879388372,daniel.murray653@company.com,30705,3
Thomas,Singh,Customer Support,8468337234,thomas.singh672@company.com,49504,3
Michele,Lawrence,Cashier,4982494909,michele.lawrence706@company.com,43748,3
