first_name,last_name,phone,email,address,customer_type
Danielle,Johnson,3321819600,danielle.johnson3907@example.com,"386 Shane Harbors, Port Lindachester, MA 36922",Regular
Eric,Bernard,1161559407,eric.bernard6879@example.com,"959 Janet Cape Apt. 413, South Joshuastad, GA 49021",Premium
Michael,Santiago,9283276483,michael.santiago7490@example.com,"4139 Lewis Parks Suite 724, East Julie, ND 34939",Regular
Julie,Patterson,5328710122,julie.patterson1030@example.com,"480 Erin Plain Suite 514, Mooretown, VA 94830",Regular
Jose,Mason,8148932528,jose.mason1817@example.com,"54303 Christopher Oval, Port Amandaberg, DC 86975",Premium
Thomas,Pierce,8963834657,thomas.pierce8190@example.com,"0983 Adrian Station, East Carloston, VI 43810",Regular
Chad,Young,3829973763,chad.young9777@example.com,"0106 Mcbride Coves Apt. 338, Taylorburgh, KY 61138",Regular
John,Leblanc,8108013267,john.leblanc8783@example.com,"PSC 2606, Box 4746, APO AP 96249",Premium
Wendy,Peters,2343098050,wendy.peters270@example.com,"81219 Emma Freeway, Wilsonshire, IA 76381",Regular
Brooke,Harvey,9985435346,brooke.harvey8444@example.com,"79911 William Curve, Nicolebury, MN 37854",Wholesale
Eric,Bass,9808412411,eric.bass9422@example.com,"534 King Vista, North Cynthiaview, AZ 00965",Premium
Matthew,Anderson,2786801128,matthew.anderson3964@example.com,"04505 Evelyn Shores Apt. 586, East Michelle, AS 23707",Regular
Nicole,Johnson,6342160733,nicole.johnson2353@example.com,"03654 Tammy Harbors, Darlenefurt, TX 70783",Regular
Mark,Johnson,2940196556,mark.johnson4773@example.com,"0608 Michael Cliff, Cindyville, VA 39864",Regular
William,Estrada,6482366299,william.estrada7033@example.com,"3699 Marshall Mills Apt. 872, West Zacharymouth, CO 98954",Regular
Jimmy,Collins,2003791769,jimmy.collins26@example.com,"016 Gregory Square, Williamsbury, PW 16407",Regular
Stephen,Solis,7986872774,stephen.solis5781@example.com,"7143 Rogers Plains, East Edwardfurt, UT 20529",Wholesale
Jasmine,Brown,5876036690,jasmine.brown3942@example.com,"6688 Tracy Groves Suite 706, Elizabethfurt, VA 22133",Wholesale
Mary,Calhoun,6990162720,mary.calhoun9350@example.com,"6464 Thomas Summit Apt. 531, Port Anthonybury, ID 03172",Regular
Christine,Allen,1937452991,christine.allen6826@example.com,"663 Brittany Village Apt. 149, Port Tonyaton, MI 70328",Premium
Ross,Wood,0671657262,ross.wood3069@example.com,"6945 Mariah Corners Suite 737, Rogersfort, PR 43101",Regular
Hunter,Lewis,5494808313,hunter.lewis1403@example.com,"770 Kelly Lodge Apt. 495, Transtad, NE 98272",Regular
