username,email,password_hash,role_id
melaniejones,melaniejones@retailcorp.com,hash_y0xpcmxw5pehwekf18he,1
hudsonmiguel,hudsonmiguel@storegrid.com,hash_dpqo5awejbelv26qgfs6,2
browndennis,browndennis@storegrid.com,hash_5d3xs30kwgvscrmm0b09,2
christina28,christina28@storegrid.com,hash_r70h75gjxgo050llkeut,2
mario85,mario85@retailcorp.com,hash_grfenz6atd3lzavdr8zw,2
mwallace,mwallace@storegrid.com,hash_8n6qf3pjlks79vd0k6xs,2
jennifer43,jennifer43@shopmart.in,hash_9tkcq3wul6lrw57l1y4d,2
odavenport,odavenport@retailcorp.com,hash_u24zpdde22dvx9to21qz,2
amandabray,amandabray@shopmart.in,hash_whu4c1nwu33oqeroaxgo,2
jenkinsjoe,jenkinsjoe@shopmart.in,hash_q50s78xajlxiuv0xbpov,2
oscarvasquez,oscarvasquez@shopmart.in,hash_u24buq8ej7plgp8pmg2g,2
charles11,charles11@supplyhub.in,hash_yhavoeoh47lhke3b2wku,2
jacqueline87,jacqueline87@shopmart.in,hash_tu0ob97czx4prtkbm247,2
warrenshawn,warrenshawn@storegrid.com,hash_fd03ryrib75x9140kllt,3
gomezallen,gomezallen@storegrid.com,hash_fxo1vvaoo0wpq5diytwk,3
adyer,adyer@storegrid.com,hash_m63mqhhwlg9p2y7w8rid,3
chelsea62,chelsea62@supplyhub.in,hash_6xyai9beoca2k72u4ga6,3
stephenhall,stephenhall@supplyhub.in,hash_0cfcnxq9u2aqggoc0mgn,3
millershane,millershane@supplyhub.in,hash_ne3wuvn81bhtczjnq057,3
kmcmahon,kmcmahon@storegrid.com,hash_ry7tmgnh45uw4sip9f5d,3
brucechristopher,brucechristopher@supplyhub.in,hash_1b6gcbzf7lx3pzbvf8jd,3
welcheric,welcheric@shopmart.in,hash_gmhq6ktsf06jc897ueqn,3
colleen32,colleen32@storegrid.com,hash_19ok8u9v3d7my7t4ruca,3
yhouston,yhouston@shopmart.in,hash_4q6lht0rek6wcdmz774q,3
christopher63,christopher63@supplyhub.in,hash_7sxpcmjmmj45j3qalxyt,3
